ping_time,Abundance,Inertia,CenterOfMass
2018-03-08 07:00:00,-31.556025,1174.3872588133995,130.20135255825738
2018-03-08 08:00:00,-18.381687,1778.2208954917746,135.99610691901157
2018-03-08 09:00:00,-31.360674,2146.910476875241,143.21443668555816
2018-03-08 10:00:00,-26.094765,1834.7901800908605,135.77322280349432
2018-03-08 11:00:00,-16.932716,1892.1258166922214,147.59440102037482
2018-03-08 12:00:00,-30.735352,1903.8438375729029,143.52379048060965
2018-03-08 13:00:00,-25.12376,1521.7125560031895,140.7097876961543
2018-03-08 14:00:00,-33.823513,2403.981516184948,122.56933837527384
2018-03-08 15:00:00,-29.229061,2243.2251531973484,137.04338505318856
2018-03-08 16:00:00,-27.35773,1483.1101911499957,141.09788858752705
2018-03-08 17:00:00,-25.171791,1232.0562961737912,136.9695007883592
2018-03-08 18:00:00,-28.607754,1285.0395423289842,138.40881682933332
2018-03-08 19:00:00,-24.76716,2054.904712474873,123.61588873511974
2018-03-08 20:00:00,-20.941088,1727.0812613513635,136.96241676566495
2018-03-08 21:00:00,-23.35141,1725.7651717242873,98.67033558547902
2018-03-08 22:00:00,-20.731125,1908.4813470310285,95.88575691255849
2018-03-08 23:00:00,-19.693695,2130.5272794725447,111.62311998943261
2018-03-09 00:00:00,-18.851336,1861.9824940096264,127.50920167857323
2018-03-09 01:00:00,-19.518799,1654.5426758655103,138.36089351620888
2018-03-09 02:00:00,-19.53749,1027.404162824648,123.38350218853736
2018-03-09 03:00:00,-17.212193,1729.6519775111349,129.8817853695822
2018-03-09 04:00:00,-15.782457,1633.0651072264145,127.36727857097327
2018-03-09 05:00:00,-14.997433,2091.657148768865,138.47419539980828
2018-03-09 06:00:00,-23.044327,2118.4300065678067,137.41385787695322
2018-03-09 07:00:00,-14.310596,2361.6969071902827,125.75029929109655
2018-03-09 08:00:00,-17.79525,2053.427696507604,104.6500587828321
2018-03-09 09:00:00,-22.466015,2617.9461383278826,99.01314660777393
2018-03-09 10:00:00,-27.08026,2086.0819738733317,102.1888190059752
2018-03-09 11:00:00,-25.563595,1672.9539005538552,105.79384648936173
2018-03-09 12:00:00,-21.649002,1439.9150809959815,82.45421398670513
2018-03-09 13:00:00,-21.33172,1063.3382585174277,60.396453157615554
2018-03-09 14:00:00,-27.72969,2542.877190064812,103.51744063845999
2018-03-09 15:00:00,-32.148617,2071.853035797966,123.36988809855336
2018-03-09 16:00:00,-28.609522,1992.7530740537968,85.07268335221121
2018-03-09 17:00:00,-29.691294,2021.268529290954,112.23362128652991
2018-03-09 18:00:00,-22.961182,1564.3177097519463,125.58624474720287
2018-03-09 19:00:00,-22.629162,983.0653305264134,124.00700870874815
2018-03-09 20:00:00,-15.319238,998.5345357085516,106.12507378983136
2018-03-09 21:00:00,-20.286608,1511.7154753094414,124.05942347689492
2018-03-09 22:00:00,-21.364595,1981.9530646684368,112.77583138247351
2018-03-09 23:00:00,-19.509155,1511.583978499159,71.77026268849073
2018-03-10 00:00:00,-20.029675,1357.133305371831,84.5412738434413
2018-03-10 01:00:00,-22.052729,2190.070556920761,93.18361888306097
2018-03-10 02:00:00,-22.122456,2332.350789774982,109.26274649540585
2018-03-10 03:00:00,-18.255888,1874.191504613856,127.44250244332258
2018-03-10 04:00:00,-19.987642,1794.2307075107967,85.24365337389733
2018-03-10 05:00:00,-17.61256,2040.200134203629,100.71009959367075
2018-03-10 06:00:00,-17.131514,2365.165827937557,100.67924732065538
2018-03-10 07:00:00,-25.775162,2145.179318386728,105.85690358513352
2018-03-10 08:00:00,-32.375713,2059.63839660239,114.08211464679928
2018-03-10 09:00:00,-27.235899,1567.5544900435243,116.11834805467342
2018-03-10 10:00:00,-33.59641,1219.9718199624672,123.80345153692704
2018-03-10 11:00:00,-28.159794,1608.9804824064731,125.35613366271173
2018-03-10 12:00:00,-30.45232,1823.3197992475161,112.76007513879708
2018-03-10 13:00:00,-32.019947,1935.5578128240468,130.77172822565535
2018-03-10 14:00:00,-23.14272,1978.2205027129871,131.98436066598828
2018-03-10 15:00:00,-31.937696,1876.1780915074194,145.75403393443816
2018-03-10 16:00:00,-31.803375,1670.0780742856352,158.57958939160855
2018-03-10 17:00:00,-21.53022,2484.81470773501,94.89150137046937
2018-03-10 18:00:00,-22.98691,1704.0484690847622,117.01362592396174
2018-03-10 19:00:00,-24.474026,1309.7913715964519,140.25578967907228
2018-03-10 20:00:00,-21.902685,1684.8290303732913,128.97906009727262
2018-03-10 21:00:00,-21.441519,2006.6910544031382,113.91820291742025
2018-03-10 22:00:00,-20.577663,1586.936849548214,129.40263644964688
2018-03-10 23:00:00,-21.710453,1482.6111721528096,91.93254027019839
2018-03-11 00:00:00,-18.613512,2253.079880016931,116.58107592200764
2018-03-11 01:00:00,-20.783327,2877.8450292872253,107.25358448457331
2018-03-11 02:00:00,-20.630611,3288.85142124978,118.64061820312781
2018-03-11 03:00:00,-19.779331,2744.741572825438,107.69711882639442
2018-03-11 04:00:00,-21.755653,3158.951144278196,129.69829837225197
2018-03-11 05:00:00,-24.099543,1868.45190339556,151.14935624185534
2018-03-11 06:00:00,-24.909813,2084.077474612854,103.42508981732155
2018-03-11 07:00:00,-22.44508,2292.1573399519048,80.50331648123216
2018-03-11 08:00:00,-18.448689,2078.7705438954426,93.06287875698385
2018-03-11 09:00:00,-28.369818,2200.6931607664537,83.5419278305923
2018-03-11 10:00:00,-31.346752,2674.5668635057355,118.35864417456952
2018-03-11 11:00:00,-28.107319,2526.926706176575,141.09506530895828
