"","TIME","Median_63","Median_125","Arithmean_63_dB","Arithmean_125_dB"
"1","2018-02-12 00:00:00",78.1775361403472,77.157465514767,78.6909788540381,78.0048744848643
"2","2018-02-12 01:00:00",80.6871207803216,81.3303976028591,81.5589808167173,82.380448949905
"3","2018-02-12 02:00:00",81.1243240547434,81.2250984672232,81.789272638056,82.275743795467
"4","2018-02-12 03:00:00",83.0352798719935,81.3245899516876,85.1015411505496,81.7049370206796
"5","2018-02-12 04:00:00",91.9872762666496,88.2367906964016,93.9054097835722,89.514387326036
"6","2018-02-12 05:00:00",92.3049932725132,90.5218862264169,93.4046658069748,90.7571763096011
"7","2018-02-12 06:00:00",88.3296332573835,87.4000745429589,89.7486667518045,88.3984044918306
"8","2018-02-12 07:00:00",80.2559349253453,81.00233087469,80.8270564417808,83.3262416257618
"9","2018-02-12 08:00:00",79.7438756694885,80.0165216285168,80.1684500335828,81.5461056820382
"10","2018-02-12 09:00:00",79.1956023731423,81.5649510874456,79.9582768309536,83.39528442656
"11","2018-02-12 10:00:00",79.1884920617654,81.0503709600936,79.94496165043,82.9549398512781
"12","2018-02-12 11:00:00",81.2736963419497,84.5903186979858,82.8790408288032,86.1501894635895
"13","2018-02-12 12:00:00",79.72476539626,81.9505459566279,80.7378582006983,84.6002655762706
"14","2018-02-12 13:00:00",79.3378356759396,80.6473231823983,80.6189866510911,82.9839019245468
"15","2018-02-12 14:00:00",86.764489825865,87.7057577226757,87.7030999576076,88.604921436233
"16","2018-02-12 15:00:00",78.4171529245047,80.9991149300929,78.8310199175597,82.9108384633804
"17","2018-02-12 16:00:00",91.049559902525,96.0213700274798,93.6047119020533,104.193786490907
"18","2018-02-12 17:00:00",76.7788748124931,83.7490432414981,77.8481018794212,87.6857349733983
"19","2018-02-12 18:00:00",77.4286633590497,85.4497876228268,77.9058362484262,86.621896283168
"20","2018-02-12 19:00:00",77.3657207750062,86.2080178247142,77.7859196025997,87.5713407917847
"21","2018-02-12 20:00:00",76.334529653357,78.4487548211068,76.4348236315133,80.0248039263382
"22","2018-02-12 21:00:00",76.2539611093813,76.8314796306769,76.5591660146666,77.1352997440387
"23","2018-02-12 22:00:00",76.2880454119876,76.632068424349,76.5882886545927,77.2919256275785
"24","2018-02-12 23:00:00",91.8257447627583,87.8803266804044,96.1007536037326,89.416211653738
"25","2018-02-13 00:00:00",84.5097580516526,83.4540834712558,88.9692081753944,83.8827015912706
"26","2018-02-13 01:00:00",77.8129177378609,78.6302657481686,78.489062850661,78.9932075319439
"27","2018-02-13 02:00:00",76.8700526520975,77.3607634906982,77.1176112078116,77.6292325138941
"28","2018-02-13 03:00:00",76.5826912810774,77.0264197284096,77.5520478794806,77.7718018357795
"29","2018-02-13 04:00:00",84.671809764143,81.4145819712537,86.6617464075969,82.8364535661781
"30","2018-02-13 05:00:00",84.2692076811109,84.1465065685639,90.16229018917,92.4511102106036
"31","2018-02-13 06:00:00",79.1836965112365,82.635633384571,79.7893729997695,83.6486591406655
"32","2018-02-13 07:00:00",79.726062053554,79.7930513534633,80.101220555709,82.7007825205274
"33","2018-02-13 08:00:00",79.8555345286059,82.008762829355,80.108442598186,82.5141143909928
"34","2018-02-13 09:00:00",80.2764014876606,82.6278778914609,80.5866736953432,83.2805063141286
"35","2018-02-13 10:00:00",83.2587959776618,83.6340914300645,86.1334894334014,84.380283789913
"36","2018-02-13 11:00:00",79.1458502777319,80.7286811189743,82.0479539994793,81.5656897121888
"37","2018-02-13 12:00:00",79.6196729104646,81.983727464941,79.8573378559176,82.4320304761773
"38","2018-02-13 13:00:00",81.1490703265484,82.3690976654202,81.3774964095798,83.0619484788878
"39","2018-02-13 14:00:00",82.016804823924,83.7261535166394,82.197371674405,83.9527863136768
"40","2018-02-13 15:00:00",83.0744207038182,84.088809999194,83.2648538411069,84.2714185695775
"41","2018-02-13 16:00:00",82.2524784905017,83.2900900621652,82.6604025542528,83.467858922632
"42","2018-02-13 17:00:00",81.4754092141151,82.5352075864267,81.8076132552592,82.7143969414183
"43","2018-02-13 18:00:00",80.2892096776111,81.2176498139088,80.5017405149035,81.3353813983693
"44","2018-02-13 19:00:00",80.1748567797312,81.0005217207471,80.559119634073,81.1327735798347
"45","2018-02-13 20:00:00",78.0535599666763,78.5325032939031,78.4358396245824,79.0186841327369
"46","2018-02-13 21:00:00",77.1744476819931,77.3951160348701,77.8726292000288,78.0638947791942
"47","2018-02-13 22:00:00",77.0873490988998,77.6037408822447,77.8254310588887,80.635588913058
"48","2018-02-13 23:00:00",77.2735403342319,77.0310083740919,77.6051573034442,78.6684719703141
"49","2018-02-14 00:00:00",77.7733209332534,77.6651159705664,78.3257003876451,78.870641622815
"50","2018-02-14 01:00:00",78.310354498524,78.3797916648736,79.6719059844144,80.025605221127
"51","2018-02-14 02:00:00",79.9251712662446,80.1082840291557,80.9575408290031,80.949912039644
"52","2018-02-14 03:00:00",78.1847200801895,79.4288776611234,79.2074236473084,80.1902039048919
"53","2018-02-14 04:00:00",77.3082363757478,78.645650399562,77.6198632240033,78.986725679639
"54","2018-02-14 05:00:00",76.9339921165715,78.8740050515786,77.3052962729098,79.4797154219221
"55","2018-02-14 06:00:00",77.5558081319219,81.1967977753594,78.4898545263551,82.2445621956901
"56","2018-02-14 07:00:00",77.8700185755137,79.9073378100898,78.7487813623261,81.8965997239122
"57","2018-02-14 08:00:00",78.470099152112,81.2102445278024,79.1044958622103,82.6868750248742
"58","2018-02-14 09:00:00",87.4665501755597,88.6053057712107,90.2042116052836,92.8123729493679
