TIME,Median_63,Median_125,Arithmean_63_dB,Arithmean_125_dB
2018-03-04 00:00:00,90.10646906285194,95.8904489464006,91.21679495925315,97.04458291892763
2018-03-04 01:00:00,84.50191602967395,89.00034534012576,85.47009028537826,89.85316267763727
2018-03-04 02:00:00,86.00306288741794,91.9379674939265,87.8466529795775,93.79014895980683
2018-03-04 03:00:00,78.65420111961976,81.91801030589785,82.72903743397086,84.72015448395972
2018-03-04 04:00:00,74.7792534555211,78.0473202395851,75.32171425539417,78.59578148670317
2018-03-04 05:00:00,75.8922254398358,81.7247311302278,79.53235291839808,82.73910648001046
2018-03-04 06:00:00,83.1996743560921,85.62279108111525,84.04480320756596,86.03336455193875
2018-03-04 07:00:00,77.66034332808455,80.00208954192705,78.70366500975146,82.73925591344496
2018-03-04 08:00:00,77.4142092437006,83.17369324893625,79.16562824346151,84.11366750737216
2018-03-04 09:00:00,75.68047042380314,78.92486270595336,78.34333648828222,81.61157272557232
2018-03-04 10:00:00,75.56963200884036,77.89094017141676,77.40889439192384,79.64527512650415
2018-03-04 11:00:00,91.09811057336191,92.1272173234825,94.971618916313,97.83389497017546
2018-03-04 12:00:00,90.82686446736525,95.21840024974026,93.86757881290569,97.30313055280389
2018-03-04 13:00:00,82.32487760145615,84.94053063706124,83.92178463193642,86.16534552925927
2018-03-04 14:00:00,87.82141528309666,89.29898839343505,89.33837710461137,90.55069416649917
2018-03-04 15:00:00,82.79035552555145,81.8612906045492,86.0637086503573,83.76231800513207
2018-03-04 16:00:00,94.8237994158701,86.45169464927235,96.97223194988138,87.2452697771131
2018-03-04 17:00:00,79.86121401669459,79.43643083185465,81.3197040512125,80.84217619010295
2018-03-04 18:00:00,89.08688038754136,85.7002117907092,90.54809057610848,88.02392847043967
2018-03-04 19:00:00,83.82296017882945,90.05054873807424,92.56918141905308,94.22603367958135
2018-03-04 20:00:00,75.19470886157836,77.0841916579075,75.56187819083073,78.15584419067632
2018-03-04 21:00:00,77.73926042078885,81.1841255240051,79.34967428921917,81.75243079893787
2018-03-04 22:00:00,82.51057456851936,80.0343312013499,83.18503641333248,80.27957502839207
2018-03-04 23:00:00,84.09312853479705,80.21141908869839,84.71296732957099,80.62003172309751
